movieLink,movieID,name,AdjustedDomesticGross,ReleaseDate,Distributor,Genre,Budget,_merge,Release_Year,Release_Month,Year,w2_$_change,w2_rank_change,w3_$_change,w3_rank_change,w_1_date,w_1_gross,w_1_rank,w_2_date,w_2_gross,w_2_rank,w_3_date,w_3_gross,w_3_rank,Major_Genre,w1_$_drop,budget_val,adjusted_budget,abs_profit,rel_profit,w_1_success,w_1_and_2_success
/movies/?id=ongbak2.htm,id=ongbak2.htm,Ong Bak 2: The Beginning,113500.0,2009-10-23,Magnolia,Action,,both,2009.0,10.0,2009.0,-39.4,-7.0,-66.5,-13.0,Oct 23-25,29400.0,62.0,Oct 30-Nov 1,17800.0,69.0,Nov 6-8,6000.0,82.0,Action/Adventure,11600.0,,,,,,
/movies/?id=spinningplates.htm,id=spinningplates.htm,Spinning Plates,113500.0,2013-10-25,The Film Arcade,Documentary,,both,2013.0,10.0,2013.0,-44.4,-8.0,11.4,4.0,Oct 25-27,20900.0,51.0,Nov 1-3,11600.0,59.0,Nov 8-10,13000.0,55.0,Other,9300.0,,,,,,
/movies/?id=aneverlastingpiece.htm,id=aneverlastingpiece.htm,An Everlasting Piece,113700.0,2000-12-22,DreamWorks,Unknown,$14 million,both,2000.0,12.0,2000.0,,,,,Dec 22-25,14300.0,58.0,Dec 29-31,32600.0,,,,,Other,-18300.0,14000000.0,19320000.0,-19206300.0,0.005885093167701864,0.0007401656314699793,0.24275362318840582
/movies/?id=saintjohnoflasvegas.htm,id=saintjohnoflasvegas.htm,Saint John of Las Vegas,113700.0,2010-01-29,IndieVest Pictures,Comedy / Drama,,both,2010.0,1.0,2010.0,-56.1,-10.0,153.0,12.0,Jan 29-31,23000.0,52.0,Feb 5-7,10100.0,62.0,Feb 12-14,25500.0,50.0,Comedy,12900.0,,,,,,
/movies/?id=dedication.htm,id=dedication.htm,Dedication,113800.0,2007-08-24,Weinstein Company,Romantic Comedy,,both,2007.0,8.0,2007.0,-28.8,-4.0,-70.3,-24.0,Aug 24-26,29200.0,62.0,Aug 31-Sep 2,20800.0,66.0,Sep 7-9,6200.0,90.0,Romance,8400.0,,,,,,
/movies/?id=wondrousoblivion.htm,id=wondrousoblivion.htm,Wondrous Oblivion,114000.0,2006-07-21,Palm,Comedy / Drama,,both,2006.0,7.0,2006.0,-8.6,-7.0,-37.1,-4.0,Jul 21-23,15100.0,65.0,Jul 28-30,13800.0,72.0,Aug 4-6,8700.0,76.0,Comedy,1300.0,,,,,,
/movies/?id=goonies2013.htm,id=goonies2013.htm,Goonies (2013 re-release),114200.0,2013-04-28,Warner Bros.,Family Adventure,,both,2013.0,4.0,,,,,,,,,,,,,,,Other,,,,,,,
/movies/?id=wildtarget.htm,id=wildtarget.htm,Wild Target,114300.0,2010-10-29,Freestyle Releasing,Comedy Thriller,$8 million,both,2010.0,10.0,2010.0,-52.7,-20.0,-37.1,-6.0,Oct 29-31,24400.0,49.0,Nov 5-7,11500.0,69.0,Nov 12-14,7300.0,75.0,Comedy,12900.0,8000000.0,8720000.0,-8605700.0,0.013107798165137614,0.002798165137614679,0.4116972477064221
/movies/?id=shesfunnythatway.htm,id=shesfunnythatway.htm,She's Funny That Way,114400.0,2015-08-21,Lionsgate Premiere,Comedy,,both,2015.0,8.0,,,,-68.9,,,,,Aug 28-30,21300.0,57.0,Sep 4-6,6600.0,,Comedy,,,,,,,
/movies/?id=helloimustbegoing.htm,id=helloimustbegoing.htm,Hello I Must Be Going,114500.0,2012-09-07,Oscilloscope Pictures,Comedy / Drama,,both,2012.0,9.0,2012.0,-64.1,-16.0,141.0,11.0,Sep 7-9,25900.0,62.0,Sep 14-16,9300.0,78.0,Sep 21-23,22400.0,67.0,Comedy,16600.0,,,,,,
/movies/?id=hollywoodvicesquad.htm,id=hollywoodvicesquad.htm,Hollywood Vice Squad,114500.0,1986-02-28,Concorde,Unknown,,both,1986.0,2.0,,,,,,,,,,,,,,,Other,,,,,,,
/movies/?id=levonhelm.htm,id=levonhelm.htm,Ain't In It For My Health: A Film About Levon Helm,114600.0,2013-04-19,Kino Lorber,Documentary,,both,2013.0,4.0,2013.0,-41.7,-11.0,-66.8,-17.0,Apr 19-21,8000.0,73.0,Apr 26-28,4700.0,84.0,May 3-5,1500.0,101.0,Other,3300.0,,,,,,
/movies/?id=firstmorning.htm,id=firstmorning.htm,First Morning,114800.0,2005-07-15,Illuminare Entertainment,Drama,"$300,000",both,2005.0,7.0,2005.0,8.4,1.0,-60.5,-21.0,Jul 15-17,3900.0,88.0,Jul 22-24,4200.0,87.0,Jul 29-31,1700.0,108.0,Drama/Thriller,-300.0,300000.0,363000.0,-248200.0,0.3162534435261708,0.010743801652892562,2.231404958677686
/movies/?id=eyeseeyou.htm,id=eyeseeyou.htm,Eye See You (a.k.a. D-TOX),114900.0,2002-09-20,DEJ,Unknown,$55 million,both,2002.0,9.0,2002.0,,,,,Sep 20-22,46900.0,57.0,,,,,,,Other,,55000000.0,72600000.0,-72485100.0,0.0015826446280991736,0.0006460055096418733,
/movies/?id=afghanstar.htm,id=afghanstar.htm,Afghan Star,114900.0,2009-06-26,Zeitgeist,Documentary,,both,2009.0,6.0,2009.0,-49.1,0.0,-47.9,-11.0,Jun 26-28,4100.0,83.0,Jul 3-5,2100.0,83.0,Jul 10-12,1100.0,94.0,Other,2000.0,,,,,,
/movies/?id=torremolinos73.htm,id=torremolinos73.htm,Torremolinos 73,114900.0,2005-04-15,First Run,Foreign,,both,2005.0,4.0,2005.0,40.2,12.0,-86.3,-43.0,Apr 15-17,8300.0,97.0,Apr 22-24,11700.0,85.0,Apr 29-May 1,1600.0,128.0,Other,-3400.0,,,,,,
/movies/?id=undertow2010.htm,id=undertow2010.htm,Undertow (2010),114900.0,2010-09-17,The Film Collaborative,Foreign,,both,2010.0,9.0,2010.0,-42.6,,-35.2,,Sep 17-19,7400.0,,Sep 24-26,4200.0,,Oct 1-3,2600.0,,Other,3200.0,,,,,,
/movies/?id=decoys.htm,id=decoys.htm,Decoys,115000.0,2004-02-27,Lions Gate,Unknown,,both,2004.0,2.0,2004.0,,,,,Feb 27-29,115000.0,46.0,,,,,,,Other,,,,,,,
/movies/?id=dev.htm,id=dev.htm,Dev,115000.0,2004-06-11,Eros,Foreign,,both,2004.0,6.0,2004.0,,,,,Jun 11-13,115000.0,36.0,,,,,,,Other,,,,,,,
/movies/?id=afterlife10.htm,id=afterlife10.htm,After.Life,115100.0,2010-04-09,Anchor Bay Films,Horror Thriller,,both,2010.0,4.0,2010.0,-73.4,-21.0,-84.8,-33.0,Apr 9-11,64100.0,42.0,Apr 16-18,17000.0,63.0,Apr 23-25,2600.0,96.0,Horror,47100.0,,,,,,
/movies/?id=obamaeffect.htm,id=obamaeffect.htm,The Obama Effect,115100.0,2012-07-13,Arc Entertainment,Comedy,,both,2012.0,7.0,2012.0,-91.5,-29.0,-76.8,-20.0,Jul 13-15,90900.0,38.0,Jul 20-22,7700.0,67.0,Jul 27-29,1800.0,87.0,Comedy,83200.0,,,,,,
/movies/?id=songsfromthesecondsfloor.htm,id=songsfromthesecondsfloor.htm,Songs from the Second Floor,115100.0,2001-08-17,New Yorker,Foreign,,both,2001.0,8.0,,,,,,,,,,,,,,,Other,,,,,,,
/movies/?id=lateaugustearlyseptember.htm,id=lateaugustearlyseptember.htm,"Late August, Early September",115200.0,1999-07-07,Zeitgeist,Unknown,,both,1999.0,7.0,,,,,,,,,,,,,,,Other,,,,,,,
/movies/?id=duranduranunstaged.htm,id=duranduranunstaged.htm,Duran Duran: Unstaged,115500.0,2014-09-10,Phase 4,Documentary,,both,2014.0,9.0,,,,,,,,,,,,,,,Other,,,,,,,
/movies/?id=invisiblecircus.htm,id=invisiblecircus.htm,The Invisible Circus,115500.0,2001-02-02,Fine Line,Unknown,,both,2001.0,2.0,2001.0,,,,,Feb 2-4,82500.0,51.0,,,,,,,Other,,,,,,,
/movies/?id=setmefree.htm,id=setmefree.htm,Set Me Free,115800.0,2000-04-14,Artistic License,Unknown,,both,2000.0,4.0,2000.0,,,,,Apr 14-16,7700.0,63.0,,,,,,,Other,,,,,,,
